Row Labels,Accessories,ACE,Advanced Signal Conditioning Modules,Analog Inspection & Test,ANT-5,Attenuators & Backreflector Modules,Benchtop Inspection,BrightJack,CA product,Calibration Plan,Calibrations,CapacityAdvisor Held,CellAdvisor,Certifier,CleanBlast,Common Product,Converged Assurance Support,CT-650,CT-650SM,Digital Inspection & Test,Direct View FM,Dispersion modules,DSAM,DSAM 2300/3300,DSAM Upgrades,DSAM-6300,DTS,EA Support,Education,Ethernet Network Management Tools,Extended Warranty,FIT Generic,FST-2000,FST-2207/2209 DS1,FST-2310,FST-2310-DS3,FST-2310-OC12,FST-2310-OC3,FST-2802 G,GigaStor,HCU1500,HST-3000 SIMs,HST-3000C,HST-3000C-CE,JMEP,Legacy Wireline Services,Location Intelligence Product,Location Intelligence Services,MAP Standalone Switches,"MAP-200 Chassis, Accessories & Software",Misc Hardware,MS-1200D,MTS-5100e,NC Ethernet TT,NetAnalyst Test Management Software,NI - Maintenance,NIMS,nTAPs,Observer,ONT-Jitter,ONX-580,Optical Switch Modules,ORS,OSA,OST,OTDR - FiberComplete modules,Other - Cable,Other - Solutions Classic,PacketPortal SW & Solutions,Passive Chassis,Passive Plug-ins,PathTrak,PI Product,Polatis Cross Connects,Probe Tips,PT Hardware,PT SART,PT SART Support,PT Services,QT-600-10,QT-600-2,RANAdvisor Product,RANAdvisor Services & Support,RCATS Product,Repair,Replacement Parts,RPM2000,RPM-3000,RSAM,SDA,SDA-5000,SDA-5500,SMART Handhelds,SmartClass ADSL,SmartClass E1,SmartClass Ethernet,SMARTClass Fiber,SmartClass HOME,SmartClass Triple Play,SmartID,SmartPocket Handhelds,"Source, EDFA & BBS Modules",Spare Parts,StrataSync,Support Plans,Swept Wavelength Systems,T3AS,TB/MTS 4000 Platform,TB/MTS 8000 Platform,TB/MTS-2000 Platform,TB/MTS-6000 Platform,TB-6000A Transport Module,T-BERD 8000,T-Berd/MTS-5800,Test Devices,Test Productivity Pack,TestPad 2000,TrueSpeed,Ultra FED,Volicon,VSA,VSE-1100,WiFi Smart Accessory,WR 10G Trans/Regen,WR 2.5G Trans/Regen,WR Amplification,WR Common,WS 10G Trans/Regen,WS 2.5G Trans/Regen,XGIG - Ethernet 10G,XGIG - FC 16G,XGIG - Other,XGIG 5k - SAS/SATA 12G,Grand Total
JAS,2.988285411,1.90881179,2,1.495652174,2,2,12.18032225,1,1,0,10.27056842,1.370967742,1,11.36970188,1.5,3.135948415,1.223880597,1.47260274,2,7.56631882,0,1.368852459,0,15.80819834,14.5023636,5.232197098,6,1.279635258,3.645643485,2,4.891906573,2.647337902,1.378787879,1.368852459,2.559873882,2.711265332,1.368852459,2,1.370967742,0,0,6.635472667,5.875972355,0,1.368852459,19.77419355,28.54038997,28.54038997,1.368852459,2,0,2,2.394887543,6,0,0,0,1.550561798,0,2,12.5843177,2,0,4.093959732,2,1,40,1.368852459,15.80819834,2,15.80819834,0,1.368852459,2,6.876506893,2,2,0,2,1,19.51724138,1.70907195,2.829493088,2.125376537,0,16.60322881,16.60322881,0,17.62729877,13.59161755,11.42926898,5.363806469,14.33527503,21.07208828,1.163265306,28.17809187,9.02886742,1,1,6.504761905,1,2,0,8.373838862,3.929547088,2,2.705539359,0,1,22,2,2.80323985,2.8883543,2.78315196,7.373355386,15.80819834,2.705539359,20.32399455,2.312849162,2,6,16.78180086,2.705539359,2,15.80819834,15.80819834,1,2.705539359,2.140747511,2.705539359,3.531138686,1.843813387,3.77426616,730.0706251
3 RIVERS COMMUNICATIONS,0,3.583392603,2.983606557,3.2896,3.301496553,2.945736434,3.165986236,4,4,4,4,4,4,3.560175055,3.295645494,3.475317765,3.482508899,3.302479861,0,3.395352104,2.983606557,4,3.383654425,4,4,3.302949062,3.301496553,3.301995927,3.302479861,0,0,3.217520416,4,0,0,3.400106591,0,0,4,0,3.339191733,3.340689547,3.279731993,3.265237495,4,0,4,4,4,2.983870968,0,0,3.158699809,3.301496553,0,0,0,4,0,0,3.358536526,2.983606557,0,3.301995927,2.983606557,3.440806045,0,3.301496553,3.301496553,4,4,3.132947977,4,0,0,4,2.946564885,0,0,0,4,3.265449367,3.307302802,3.302479861,3.386084272,4,4,2,3.157405615,3.303845876,0,0,3.473034896,4,3.480296973,0,3.301995927,4,4,4,3.40615786,4,0,3.26683638,3.379157428,0,3.301496553,0,3.343926192,0,4,3.457000065,3.494444444,3.416447507,0,3.301496553,0,3.473034896,3.248035915,0,3.301496553,4,3.301496553,4,4,3.301496553,3.301995927,3.301496553,3.472177066,0,2.947368421,3.304274702,0,340.6928143
ACELA TECHNOLOGIES,2.494213459,3,3,3,3,1.504854369,3,0,0,0,3,1.514285714,1,0,3,3,1.514285714,2.043478261,1.824427481,2.524172059,0,3,3,3,3,0,0,1.846715328,1.523364486,3,3,1,3,3,3,3,3,3,3,0,3,3,3,3,3,0,0,0,3,3,0,3,1.852941176,0,0,0,0,3,0,3,0,3,0,1.514285714,3,0,0,1.504854369,3,3,3,3,3,3,2.414141414,2.065088757,1.514285714,0,1.504854369,0,0,0,1.139534884,2.043478261,0,0,0,3,3,3,3,3,3,3,3,0,3,0,0,0,0,3,0,3,0,3,3,0,0,0,3,3,3,3,2.539823009,3,3,3,0,1.504854369,0,0,3,3,3,3,0,3,3,3,2.202072539,2.548387097,3,244.1383985
AERO COMMUNICATIONS,0,0,0,4,1,0,0,1,0,0,2.222222222,0,0,4,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,4,4,4,4,4,4,0,4,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,120.2222222
ALCATEL-LUCENT,3.878480325,3.57716502,3.203863752,3.329748289,3.923275342,0,0,2.326603001,2,2.95620438,3.774762135,11.47890515,13.17647059,2.799316843,3.496327662,3.689584006,8.637040094,8.089284977,14.22900763,0,4,3.326388889,3.1450835,3.230332886,2.892998496,2.529805233,2.893011867,6.168260531,7.482669559,5.791327913,3.454545455,6.250316968,4.258886442,6,5.648401826,3.357624214,6,5.476821192,3.89444799,5,2.732554007,3.477480514,3.36155049,3.601556173,3.89297198,2,1,1,3.89297198,3.713880364,5,6,7.142970656,2.893011867,0,5,0,3.669064748,0,5.476190476,3.039245823,3.203863752,5,10.18888811,3.203863752,3.16124565,0,8.709677954,2.785700273,3.326388889,3.230332886,3.250166381,3.89297198,6,0,3.85818561,0,2,3.934227607,0,1,0,15.94757927,8.378743886,0,2.343352512,2.343352512,3.763494689,2.755421999,3.069339853,3.372168285,2.88,3.571422447,3.122085569,3.319203743,3.6875,3.333643177,1,0,1.541832669,3.147533797,3.89297198,0,0,2.923441171,6,3.923275342,0,2.578947368,3.363636364,6,3.696004393,3.804903229,3.482040671,0,2.785700273,5.476190476,3.320858078,3.167785235,3.934227607,2.893011867,1.524050633,3.923275342,3.326388889,3.230332886,2.785700273,2.371706808,3.923275342,3.910380095,5.476190476,0,4.801436887,1.794684231,484.8930144
ALTEA COMMUNICATIONS,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,2.333333333,3,0,2.090909091,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.42424242
AMERICA MOVIL,13.00257854,12.42986425,0,15,15,15,15.23809524,5.168674699,0,15,11.96962025,15,15,11.35069174,15,10.33457249,15,15,0,12.71720549,0,15,0,13.39916012,12.46844299,8.331914894,9.847477948,5.831460674,9.853146853,0,7.578512397,11.08827176,7.721311475,0,7,5.012693247,0,0,3.322003578,0,0,11.8531372,11.51547352,11.40623347,15,16,0,0,15,0,0,0,12.43119266,9.847477948,0,0,0,15,0,0,12.4062872,0,0,11.08633094,0,15,16,15,13.39916012,15,13.39916012,0,15,0,12.83857214,0,15,0,0,3,15.55737705,15,13.08849558,11.08510638,11.11660251,13.39916012,13.39916012,13.35663617,12.5414274,11.53255417,9.389229422,7.578512397,12.12892938,0,15,13.07137809,12.33687551,15,3,11.45437616,15,15,3,9.002048341,10.75237619,0,11.08759124,0,15,16,0,11.75807371,15,12.1031203,0,13.39916012,7,0,11.63157895,0,9.847477948,13.22778247,11.08759124,15,13.39916012,13.39916012,15,11.08759124,4.098811293,7,9.855829177,15,7.402298851,1159.024196
AMERICAN CABLE ELECTRONIC SERVICES,1.719512195,2.42339374,1,1.983050847,1,1,1,0,0,0,2.012345679,1,0,3,1,1.835820896,1,1,1,1.810810811,0,1,0,2.710669078,2.493961592,3,3,1,2.046357616,1,2.710669078,3,1,1,1.703196347,2.046979866,1,1,1,0,2.766689188,2.036649215,2.196581197,1.804642166,1,3,3,3,1,1,0,1,2.106549955,3,0,0,0,1,0,1,3,1,0,2.046979866,1,0,0,1,2.710669078,1,2.710669078,2.591159116,1,1,1.8,1,1,0,1,0,3,1,1.414746544,1.52559727,0,3,3,2.354588078,2.853799373,2.701136033,0,2.744141045,2.046357616,2.046979866,1,3,2.04516129,0,0,0,0,1,0,2.750500177,3,1,2.047619048,0,0,0,1,1.740740741,1,1.897637795,1.85106383,2.710669078,2.047619048,2.045751634,3,1,3,3,2.047619048,1,2.710669078,2.710669078,0,2.047619048,1.703196347,2.047619048,1.417344173,1,2.047619048,193.8238199
AMIRIT TECHNOLOGIES,9,0,0,0,0,6.903225806,0,0,0,0,0,6,7.473684211,0,0,0,9,9,9,9,0,0,0,0,0,0,0,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.040816327,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,9,9,9,0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,6.105263158,0,208.5229895
AMPHENOL,3.790243902,5,1.744186047,2.661538462,5,1.772727273,0,5,0,5,5,5,0,5,2.81032413,5,5,5,0,0,0,0,5,5,1,5,5,5,5,5,0,5,5,0,5,5,0,5,5,5,5,5,5,5,5,0,0,0,5,2.307692308,5,0,5,5,0,5,0,5,0,5,5,1.744186047,5,5,1.744186047,5,0,5,1.744186047,0,5,5,5,0,3.527433628,0,1.8,0,0,0,0,5,5,5,3.873873874,2.307692308,2.307692308,1,2.345794393,1,0,0,5,5,5,5,3.21686747,0,0,0,5,5,0,5,3.982248521,0,5,0,0,5,0,5,5,5,4.154489081,1.744186047,5,5,5,0,5,0,5,0,5,1.744186047,1,5,5,5,1.826086957,3.21686747,5,405.3666884
