"","user","item","rating"
"173","3 RIVERS COMMUNICATIONS","ACE",3.58339260312945
"385","3 RIVERS COMMUNICATIONS","Advanced Signal Conditioning Modules",2.98360655737705
"535","3 RIVERS COMMUNICATIONS","Analog Inspection & Test",3.2896
"719","3 RIVERS COMMUNICATIONS","ANT-5",3.30149655288381
"897","3 RIVERS COMMUNICATIONS","Attenuators & Backreflector Modules",2.94573643410852
"1096","3 RIVERS COMMUNICATIONS","Benchtop Inspection",3.16598623585676
"1280","3 RIVERS COMMUNICATIONS","BrightJack",4
"1439","3 RIVERS COMMUNICATIONS","CA product",4
"1602","3 RIVERS COMMUNICATIONS","Calibration Plan",4
"1733","3 RIVERS COMMUNICATIONS","Calibrations",4
"1940","3 RIVERS COMMUNICATIONS","CapacityAdvisor Held",4
"2141","3 RIVERS COMMUNICATIONS","CellAdvisor",4
"2306","3 RIVERS COMMUNICATIONS","Certifier",3.56017505470459
"2503","3 RIVERS COMMUNICATIONS","CleanBlast",3.29564549397241
"2677","3 RIVERS COMMUNICATIONS","Common Product",3.47531776529707
"2891","3 RIVERS COMMUNICATIONS","Converged Assurance Support",3.48250889898122
"3113","3 RIVERS COMMUNICATIONS","CT-650",3.30247986100142
"3428","3 RIVERS COMMUNICATIONS","Digital Inspection & Test",3.39535210443131
"3593","3 RIVERS COMMUNICATIONS","Direct View FM",2.98360655737705
"3675","3 RIVERS COMMUNICATIONS","Dispersion modules",4
"3809","3 RIVERS COMMUNICATIONS","DSAM",3.38365442504515
"3962","3 RIVERS COMMUNICATIONS","DSAM-6300",3.3029490616622
"4162","3 RIVERS COMMUNICATIONS","DSAM 2300/3300",4
"4374","3 RIVERS COMMUNICATIONS","DSAM Upgrades",4
"4578","3 RIVERS COMMUNICATIONS","DTS",3.30149655288381
"4772","3 RIVERS COMMUNICATIONS","EA Support",3.30199592668024
"4994","3 RIVERS COMMUNICATIONS","Education",3.30247986100142
"5499","3 RIVERS COMMUNICATIONS","FIT Generic",3.21752041573868
"5714","3 RIVERS COMMUNICATIONS","FST-2000",4
"6221","3 RIVERS COMMUNICATIONS","FST-2310-DS3",3.40010659086872
"6740","3 RIVERS COMMUNICATIONS","FST-2802 G",4
"7020","3 RIVERS COMMUNICATIONS","HCU1500",3.33919173270354
"7192","3 RIVERS COMMUNICATIONS","HST-3000 SIMs",3.34068954660903
"7381","3 RIVERS COMMUNICATIONS","HST-3000C",3.27973199329983
"7564","3 RIVERS COMMUNICATIONS","HST-3000C-CE",3.26523749474569
"7741","3 RIVERS COMMUNICATIONS","JMEP",4
"8040","3 RIVERS COMMUNICATIONS","Location Intelligence Product",4
"8161","3 RIVERS COMMUNICATIONS","Location Intelligence Services",4
"8282","3 RIVERS COMMUNICATIONS","MAP-200 Chassis, Accessories & Software",2.98387096774193
"8431","3 RIVERS COMMUNICATIONS","MAP Standalone Switches",4
"8803","3 RIVERS COMMUNICATIONS","MTS-5100e",3.15869980879541
"9023","3 RIVERS COMMUNICATIONS","NC Ethernet TT",3.30149655288381
"9346","3 RIVERS COMMUNICATIONS","nTAPs",4
"9666","3 RIVERS COMMUNICATIONS","ONX-580",3.35853652595425
"9853","3 RIVERS COMMUNICATIONS","Optical Switch Modules",2.98360655737705
"10109","3 RIVERS COMMUNICATIONS","OSA",3.30199592668024
"10335","3 RIVERS COMMUNICATIONS","OST",2.98360655737705
"10485","3 RIVERS COMMUNICATIONS","OTDR - FiberComplete modules",3.44080604534005
"10673","3 RIVERS COMMUNICATIONS","Other - Solutions Classic",3.30149655288381
"10896","3 RIVERS COMMUNICATIONS","PacketPortal SW & Solutions",3.30149655288381
"11116","3 RIVERS COMMUNICATIONS","Passive Chassis",4
"11232","3 RIVERS COMMUNICATIONS","Passive Plug-ins",4
"11444","3 RIVERS COMMUNICATIONS","PathTrak",3.13294797687861
"11644","3 RIVERS COMMUNICATIONS","PI Product",4
"12116","3 RIVERS COMMUNICATIONS","PT Hardware",4
"12301","3 RIVERS COMMUNICATIONS","PT SART",2.94656488549618
"12771","3 RIVERS COMMUNICATIONS","QT-600-2",4
